gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,sum_click,consistency,TMA_average,CMA_average,TMA_score,CMA_score,Total_average_score,Total_assessment_score,submission_date_average
1,3,9.0,2.0,0,240,0,1,934.0,13.701989557058416,82.0,0.0,8240.0,0.0,82.0,8240.0,-1.8
0,3,2.0,1.0,0,60,0,1,1435.0,14.307774110601551,66.4,0.0,6540.0,0.0,66.4,6540.0,0.0
0,2,5.0,1.0,0,60,0,1,2158.0,13.36693144286852,76.0,0.0,7630.0,0.0,76.0,7630.0,-2.0
0,1,5.0,0.0,0,60,0,1,1034.0,10.8127086610908,54.4,0.0,5500.0,0.0,54.4,5500.0,11.4
1,2,8.0,1.0,0,60,0,1,2445.0,21.084048400180457,68.0,0.0,6690.0,0.0,68.0,6690.0,2.0
1,3,3.0,0.0,0,60,0,1,1492.0,13.513991622270328,68.0,0.0,6780.0,0.0,68.0,6780.0,0.4
0,2,9.0,0.0,0,120,0,1,1428.0,10.51480059193193,72.4,0.0,7250.0,0.0,72.4,7250.0,2.6
0,2,7.0,0.0,0,90,0,1,1894.0,13.485556124980533,71.4,0.0,7120.0,0.0,71.4,7120.0,1.4
1,1,7.0,1.0,0,60,0,1,1319.0,11.746593951649938,74.0,0.0,7400.0,0.0,74.0,7400.0,-0.8
0,2,2.0,0.0,0,60,0,1,1732.0,13.034483811764058,73.2,0.0,7370.0,0.0,73.2,7370.0,0.4
1,1,6.0,1.0,0,60,0,1,1102.0,12.660259299372337,78.6,0.0,8080.0,0.0,78.6,8080.0,-0.4
0,3,5.0,0.0,0,60,0,1,3388.0,18.423861385360723,76.0,0.0,7640.0,0.0,76.0,7640.0,-2.6
1,1,4.0,1.0,0,60,0,1,2737.0,16.36029504992435,71.6,0.0,7120.0,0.0,71.6,7120.0,0.0
0,2,6.0,1.0,0,60,0,1,1053.0,13.930589680313307,55.6,0.0,5350.0,0.0,55.6,5350.0,-4.6
1,2,1.0,1.0,0,150,0,0,116.0,2.891143046791656,48.5,0.0,3280.0,0.0,48.5,3280.0,1.5
1,2,3.0,1.0,0,60,0,1,2992.0,25.82836136155365,66.0,0.0,6580.0,0.0,66.0,6580.0,-0.6
1,2,3.0,0.0,0,60,0,1,680.0,6.276011768479236,70.4,0.0,6950.0,0.0,70.4,6950.0,0.8
1,3,0.0,0.0,0,60,0,1,1494.0,9.522461165676422,70.8,0.0,6900.0,0.0,70.8,6900.0,5.2
1,1,7.0,1.0,0,60,0,1,2839.0,24.779918289074786,60.6,0.0,6060.0,0.0,60.6,6060.0,-7.8
1,2,2.0,0.0,0,60,0,1,744.0,8.602552256478527,68.4,0.0,6870.0,0.0,68.4,6870.0,0.2
1,1,8.0,1.0,0,60,0,1,4104.0,25.078763658408143,72.6,0.0,7160.0,0.0,72.6,7160.0,-1.8
1,2,3.0,0.0,0,60,0,1,1944.0,8.82401595620512,78.0,0.0,7600.0,0.0,78.0,7600.0,0.0
1,3,6.0,0.0,0,60,0,1,1150.0,12.695826085765352,76.6,0.0,7710.0,0.0,76.6,7710.0,-0.4
1,1,2.0,0.0,0,60,0,1,733.0,9.154361105493404,53.4,0.0,5420.0,0.0,53.4,5420.0,1.2
1,3,8.0,1.0,0,60,0,1,998.0,13.327024654886303,63.4,0.0,6370.0,0.0,63.4,6370.0,-0.4
0,3,9.0,1.0,0,60,0,1,2343.0,18.495006122715665,81.0,0.0,4890.0,0.0,81.0,4890.0,-3.0
1,1,6.0,1.0,0,60,0,1,3553.0,17.46569425737817,77.6,0.0,7730.0,0.0,77.6,7730.0,3.4
